,resource,response,response_lower,response_upper
0,100.0,0.5650235,0.48386999530727587,0.6461770046927241
1,113.0,0.5715473550000001,0.49250530364554795,0.6505894063544521
2,127.0,0.578573045,0.5018048664713795,0.6553412235286207
3,143.0,0.586602405,0.5124329382723296,0.6607718717276703
4,162.0,0.59613727,0.5250537735359581,0.6672207664640419
5,183.0,0.606675805,0.5390031177747052,0.6743484922252947
6,206.0,0.6170064712500001,0.5546514103287068,0.6793615321712931
7,232.0,0.62224318,0.5609267854932022,0.6835595745067977
8,262.0,0.6282855362499999,0.5681676029906969,0.6884034695093031
9,295.0,0.634932128125,0.5761325022379411,0.6937317540120589
10,333.0,0.6496381462499999,0.5955373866646987,0.7037389058353012
11,376.0,0.6548151133333333,0.60233734012233,0.7072928865443366
12,424.0,0.6635145899999999,0.6054863050553013,0.7215428749446986
13,478.0,0.66849882375,0.6117139782530431,0.7252836692469569
14,539.0,0.674129161875,0.6187489424208624,0.7295093813291376
15,608.0,0.672763488,0.6245788371435039,0.7209481388564962
16,686.0,0.68769735375,0.6357020527924927,0.7396926547075072
17,774.0,0.7045227210714285,0.6584562076826972,0.7505892344601599
18,873.0,0.7183754384375,0.6739203247796495,0.7628305520953506
19,985.0,0.7293058055555556,0.6890006840210368,0.7696109270900744
20,1111.0,0.7436718099999999,0.7086360757010487,0.7787075442989512
21,1253.0,0.7481347834375,0.7150867927342531,0.7811827741407468
22,1413.0,0.7552983310714285,0.7084848203906687,0.8021118417521883
23,1594.0,0.7618326383333333,0.7179393802437033,0.8057258964229634
24,1798.0,0.7711044844117646,0.7271320303144635,0.8150769385090658
25,2028.0,0.7767254017499999,0.7323610861525556,0.8210897173474443
26,2288.0,0.7797970845238095,0.7364508564810549,0.8231433125665639
27,2580.0,0.7832045362499999,0.7445988588803226,0.8218102136196771
28,2910.0,0.7878386460526315,0.7544581165050903,0.8212191756001728
29,3283.0,0.7923831602631579,0.7633131643256017,0.821453156200714
30,3703.0,0.797500307631579,0.7732839956516466,0.8217166196115112
31,4176.0,0.8017861035714287,0.7788224542164564,0.8247497529264007
32,4711.0,0.8048401530434782,0.7806565231650259,0.8290237829219308
33,5313.0,0.79887617,0.7590556935689072,0.8386966464310927
34,5993.0,0.8068866013505748,0.7708035322563507,0.8429696704447988
35,6760.0,0.8092292353448276,0.7745382376742939,0.8439202330153612
36,7625.0,0.812726732638889,0.7789879151248078,0.84646555015297
37,8600.0,0.8123792767857143,0.7809258461260739,0.8438327074453547
38,9700.0,0.8159021741071427,0.7866057830132778,0.8451985652010077
39,10941.0,0.82261679475,0.7949471940228007,0.8502863954771993
40,12341.0,0.8267923336388888,0.8016851284188169,0.8518995388589609
41,13920.0,0.8310978916666667,0.809401980558874,0.8527938027744593
42,15701.0,0.8353196888750001,0.8153436990597275,0.8552956786902726
43,17709.0,0.837029249875,0.8178108982927019,0.856247601457298
44,19975.0,0.838958465625,0.8205950982239372,0.8573218330260627
45,22530.0,0.84113372875,0.8237343880846195,0.8585330694153803
46,25413.0,0.843588242875,0.827276686584951,0.8598997991650489
47,28664.0,0.846356063,0.8312711411200109,0.8614409848799891
48,32331.0,0.8481534935124999,0.8338492858591199,0.8624577011658803
49,36467.0,0.8493245502125,0.8355111766917963,0.8631379237332037
50,41133.0,0.8506456697875,0.8373860274232443,0.8639053121517557
51,46395.0,0.8521355393125001,0.8395003575880275,0.8647707210369724
52,52330.0,0.8525027446551723,0.840480608314888,0.8645248809954568
53,59025.0,0.8557115659375001,0.8445752321568634,0.8668478997181367
54,66576.0,0.8565692539333334,0.8458672423279413,0.8672712655387255
55,75094.0,0.8573226473722222,0.8470333434705891,0.8676119512738556
