resource,iterations,shots,rounds
100,1.0,100.0,1.0
113,1.0,100.0,1.0
127,1.0,100.0,1.0
143,1.0,100.0,1.0
162,1.0,100.0,1.0
183,1.0,100.0,1.0
206,1.7142857142857142,100.0,1.0
232,1.8571428571428572,100.0,1.0
262,1.8571428571428572,100.0,1.0
295,1.8571428571428572,100.0,1.0
333,3.0,100.0,1.0
376,3.0,100.0,1.0
424,3.857142857142857,100.0,1.8571428571428572
478,3.857142857142857,100.0,1.8571428571428572
539,3.857142857142857,100.0,1.7142857142857142
608,4.857142857142857,100.0,1.2857142857142858
686,4.857142857142857,100.0,1.7142857142857142
774,7.0,100.0,1.0
873,8.0,100.0,1.0
985,9.0,100.0,1.0
1111,10.857142857142858,100.0,1.0
1253,11.857142857142858,100.0,1.1428571428571428
1413,14.0,100.0,1.5714285714285714
1594,14.857142857142858,100.0,2.0
1798,16.714285714285715,100.0,2.0
2028,19.285714285714285,100.0,2.0
2288,20.857142857142858,100.0,2.0
2580,20.428571428571427,100.0,2.0
2910,19.714285714285715,100.0,2.0
3283,18.714285714285715,100.0,2.0
3703,19.0,100.0,2.0
4176,21.285714285714285,100.0,2.0
4711,23.285714285714285,100.0,2.0
5313,26.857142857142858,100.0,3.2857142857142856
5993,29.0,100.0,3.2857142857142856
6760,28.428571428571427,100.0,3.2857142857142856
7625,28.428571428571427,100.0,3.2857142857142856
8600,26.428571428571427,100.0,3.2857142857142856
9700,25.285714285714285,100.0,3.2857142857142856
10941,27.0,100.0,3.7142857142857144
12341,28.714285714285715,100.0,4.571428571428571
13920,29.428571428571427,100.0,5.0
15701,29.857142857142858,100.0,5.0
17709,29.857142857142858,100.0,5.0
19975,29.857142857142858,100.0,5.0
22530,29.857142857142858,100.0,5.0
25413,30.0,100.0,5.0
28664,29.857142857142858,100.0,5.0
32331,30.0,100.0,5.0
36467,30.0,100.0,5.0
41133,30.0,100.0,5.0
46395,29.857142857142858,100.0,5.0
52330,29.571428571428573,100.0,5.0
59025,29.857142857142858,100.0,5.0
66576,30.0,100.0,5.0
75094,30.0,114.28571428571429,5.0
84701,29.857142857142858,114.28571428571429,5.0
95537,29.714285714285715,128.57142857142858,5.0
107760,29.0,142.85714285714286,5.0
121546,29.571428571428573,142.85714285714286,5.0
137096,29.571428571428573,142.85714285714286,5.0
154635,29.714285714285715,142.85714285714286,5.0
174418,29.0,142.85714285714286,5.0
196732,29.0,142.85714285714286,5.0
221900,29.142857142857142,171.42857142857142,5.0
250289,29.0,171.42857142857142,5.0
282310,28.714285714285715,171.42857142857142,5.0
318427,29.142857142857142,171.42857142857142,5.0
359164,29.142857142857142,171.42857142857142,5.0
405114,28.857142857142858,171.42857142857142,5.0
456941,28.571428571428573,171.42857142857142,5.0
515400,29.0,185.71428571428572,5.0
581337,29.285714285714285,185.71428571428572,5.0
655710,29.285714285714285,185.71428571428572,5.0
739597,29.285714285714285,342.85714285714283,5.0
834217,29.285714285714285,342.85714285714283,5.0
940942,29.285714285714285,342.85714285714283,5.0
1061320,29.285714285714285,342.85714285714283,5.0
1197099,29.285714285714285,342.85714285714283,5.0
1350249,29.285714285714285,385.7142857142857,5.0
1522992,29.428571428571427,385.7142857142857,5.0
1717835,29.428571428571427,385.7142857142857,5.0
1937604,29.428571428571427,385.7142857142857,5.0
2185490,29.428571428571427,500.0,5.0
2465089,29.428571428571427,500.0,5.0
2780458,29.428571428571427,500.0,5.0
3136173,29.428571428571427,500.0,5.0
3537396,29.428571428571427,500.0,5.0
3989950,29.428571428571427,771.4285714285714,5.0
4500400,29.428571428571427,771.4285714285714,5.0
5076155,29.428571428571427,771.4285714285714,5.0
5725568,29.428571428571427,771.4285714285714,5.0
6458064,29.428571428571427,771.4285714285714,5.0
7284270,29.428571428571427,771.4285714285714,5.0
8216176,29.428571428571427,771.4285714285714,5.0
9267306,29.428571428571427,771.4285714285714,5.0
10452910,29.428571428571427,771.4285714285714,5.0
11790193,29.428571428571427,771.4285714285714,5.0
13298561,29.428571428571427,771.4285714285714,5.0
14999900,29.428571428571427,771.4285714285714,5.0
