resource,iterations,shots,rounds
100,1.0,100.0,1.0
113,1.0,100.0,1.0
127,1.0,100.0,1.0
143,1.0,100.0,1.0
162,1.0,100.0,1.0
183,1.0,100.0,1.0
206,1.6666666666666667,100.0,1.0
232,1.8333333333333333,100.0,1.0
262,1.8333333333333333,100.0,1.0
295,1.8333333333333333,100.0,1.0
333,3.0,100.0,1.0
376,3.0,100.0,1.0
424,4.0,100.0,1.8333333333333333
478,4.0,100.0,1.8333333333333333
539,4.166666666666667,100.0,1.5
608,5.5,100.0,1.1666666666666667
686,5.0,100.0,1.6666666666666667
774,7.0,100.0,1.0
873,8.0,100.0,1.0
985,9.0,100.0,1.0
1111,11.0,100.0,1.0
1253,11.833333333333334,100.0,1.0
1413,14.0,100.0,1.5
1594,14.666666666666666,100.0,1.8333333333333333
1798,16.666666666666668,100.0,2.0
2028,19.5,100.0,2.0
2288,21.0,100.0,2.0
2580,21.0,100.0,2.0
2910,20.5,100.0,2.0
3283,19.333333333333332,100.0,2.0
3703,19.333333333333332,100.0,2.0
4176,20.833333333333332,100.0,2.0
4711,23.5,100.0,2.0
5313,26.5,100.0,3.0
5993,29.166666666666668,100.0,3.5
6760,28.5,100.0,3.5
7625,28.833333333333332,100.0,4.0
8600,28.833333333333332,100.0,4.0
9700,27.833333333333332,100.0,4.0
10941,27.833333333333332,100.0,4.0
12341,28.666666666666668,100.0,4.5
13920,29.333333333333332,100.0,5.0
15701,30.0,100.0,5.0
17709,30.0,100.0,5.0
19975,30.0,100.0,5.0
22530,30.0,100.0,5.0
25413,30.0,100.0,5.0
28664,30.0,100.0,5.0
32331,30.0,100.0,5.0
36467,30.0,100.0,5.0
41133,30.0,100.0,5.0
46395,30.0,100.0,5.0
52330,29.666666666666668,100.0,5.0
59025,30.0,100.0,5.0
66576,30.0,100.0,5.0
75094,30.0,116.66666666666667,5.0
84701,29.833333333333332,116.66666666666667,5.0
95537,29.666666666666668,116.66666666666667,5.0
107760,28.5,133.33333333333334,5.0
121546,29.166666666666668,133.33333333333334,5.0
137096,29.333333333333332,133.33333333333334,5.0
154635,29.333333333333332,133.33333333333334,5.0
174418,28.666666666666668,133.33333333333334,5.0
196732,28.666666666666668,133.33333333333334,5.0
221900,28.666666666666668,150.0,5.0
250289,28.333333333333332,150.0,5.0
282310,28.333333333333332,150.0,5.0
318427,28.5,150.0,5.0
359164,28.333333333333332,166.66666666666666,5.0
405114,28.333333333333332,166.66666666666666,5.0
456941,28.0,166.66666666666666,5.0
515400,28.5,183.33333333333334,5.0
581337,28.833333333333332,183.33333333333334,5.0
655710,28.833333333333332,183.33333333333334,5.0
739597,28.833333333333332,366.6666666666667,5.0
834217,28.833333333333332,366.6666666666667,5.0
940942,28.833333333333332,366.6666666666667,5.0
1061320,29.333333333333332,433.3333333333333,5.0
1197099,29.333333333333332,433.3333333333333,5.0
1350249,29.5,533.3333333333334,5.0
1522992,29.666666666666668,533.3333333333334,5.0
1717835,29.666666666666668,533.3333333333334,5.0
1937604,29.666666666666668,533.3333333333334,5.0
2185490,29.666666666666668,533.3333333333334,5.0
2465089,29.666666666666668,616.6666666666666,5.0
2780458,29.5,616.6666666666666,5.0
3136173,29.666666666666668,616.6666666666666,5.0
3537396,29.666666666666668,616.6666666666666,5.0
3989950,29.666666666666668,616.6666666666666,5.0
4500400,29.666666666666668,616.6666666666666,5.0
5076155,29.666666666666668,616.6666666666666,5.0
5725568,29.666666666666668,616.6666666666666,5.0
6458064,29.666666666666668,616.6666666666666,5.0
7284270,29.666666666666668,616.6666666666666,5.0
8216176,29.666666666666668,616.6666666666666,5.0
9267306,29.666666666666668,616.6666666666666,5.0
10452910,29.666666666666668,616.6666666666666,5.0
11790193,29.666666666666668,616.6666666666666,5.0
13298561,29.666666666666668,616.6666666666666,5.0
14999900,29.666666666666668,616.6666666666666,5.0
